planner,strategy,fail_prob,seed,grid_size,success,steps,replans,planning_time_total,planning_time_avg,wallclock_time
HTN,lookahead,0.1,20,5,True,15,1,0.001046895980834961,0.001046895980834961,0.0013
HTN,lookahead,0.1,21,5,True,14,2,0.0011031627655029297,0.0005515813827514648,0.0014
HTN,lookahead,0.1,22,5,True,14,2,0.001523733139038086,0.000761866569519043,0.0018
HTN,lookahead,0.1,23,5,True,18,4,0.0020630359649658203,0.0005157589912414551,0.0024
HTN,lookahead,0.1,24,5,True,13,2,0.0011570453643798828,0.0005785226821899414,0.0016
HTN,lookahead,0.1,25,5,True,19,2,0.0016810894012451172,0.0008405447006225586,0.0021
HTN,lookahead,0.1,26,5,True,16,3,0.0019838809967041016,0.0006612936655680338,0.0024
HTN,lookahead,0.1,27,5,True,13,2,0.0013017654418945312,0.0006508827209472656,0.0016
HTN,lookahead,0.1,28,5,True,19,3,0.0014476776123046875,0.0004825592041015625,0.0018
HTN,lookahead,0.1,29,5,True,17,1,0.0011420249938964844,0.0011420249938964844,0.0015
PDDL,lazy,0.0,0,5,True,15,1,0.02089405059814453,0.02089405059814453,0.0212
PDDL,lazy,0.0,1,5,True,12,1,0.009345054626464844,0.009345054626464844,0.0096
PDDL,lazy,0.0,2,5,True,10,1,0.007884979248046875,0.007884979248046875,0.0081
PDDL,lazy,0.0,3,5,True,12,1,0.012498140335083008,0.012498140335083008,0.0127
PDDL,lazy,0.0,4,5,True,13,1,0.011815786361694336,0.011815786361694336,0.0121
PDDL,lazy,0.0,5,5,True,10,1,0.007709026336669922,0.007709026336669922,0.0079
PDDL,lazy,0.0,6,5,True,10,1,0.006791830062866211,0.006791830062866211,0.0069
PDDL,lazy,0.0,7,5,True,11,1,0.006440877914428711,0.006440877914428711,0.0066
PDDL,lazy,0.0,8,5,True,15,1,0.006601810455322266,0.006601810455322266,0.0068
PDDL,lazy,0.0,9,5,True,15,1,0.006541013717651367,0.006541013717651367,0.0068
